Date,Rates
2019-01-01,92.0
2019-01-02,92.0
2019-01-03,89.0
2019-01-04,85.0
2019-01-05,85.0
2019-01-06,87.0
2019-01-07,87.0
2019-01-08,87.0
2019-01-09,87.0
2019-01-10,83.0
2019-01-11,79.0
2019-01-12,78.0
2019-01-13,83.0
2019-01-14,85.0
2019-01-15,88.0
2019-01-16,88.0
2019-01-17,86.0
2019-01-18,85.0
2019-01-19,82.0
2019-01-20,76.0
2019-01-21,76.0
2019-01-22,76.0
2019-01-23,76.0
2019-01-24,76.0
2019-01-25,76.0
2019-01-26,79.0
2019-01-27,81.0
2019-01-28,83.0
2019-01-29,83.0
2019-01-30,84.0
2019-01-31,84.0
2019-02-01,81.0
2019-02-02,79.0
2019-02-03,79.0
2019-02-04,73.0
2019-02-05,72.0
2019-02-06,70.0
2019-02-07,70.0
2019-02-08,73.0
2019-02-09,73.0
2019-02-10,73.0
2019-02-11,72.0
2019-02-12,72.0
2019-02-13,68.0
2019-02-14,67.0
2019-02-15,68.0
2019-02-16,68.0
2019-02-17,70.0
2019-02-18,70.0
2019-02-19,74.0
2019-02-20,74.0
2019-02-21,74.0
2019-02-22,77.0
2019-02-23,79.0
2019-02-24,84.0
2019-02-25,74.0
2019-02-26,83.0
2019-02-27,83.0
2019-02-28,78.0
2019-03-01,73.0
2019-03-02,71.0
2019-03-03,70.0
2019-03-04,70.0
2019-03-05,75.0
2019-03-06,76.0
2019-03-07,80.0
2019-03-08,79.0
2019-03-09,79.0
2019-03-10,80.0
2019-03-11,80.0
2019-03-12,82.0
2019-03-13,80.0
2019-03-14,82.0
2019-03-15,85.0
2019-03-16,85.0
2019-03-17,90.0
2019-03-18,90.0
2019-03-19,96.0
2019-03-20,105.0
2019-03-21,109.0
2019-03-22,108.0
2019-03-23,108.0
2019-03-24,106.0
2019-03-25,105.0
2019-03-26,98.0
2019-03-27,98.0
2019-03-28,92.0
2019-03-29,92.0
2019-03-30,92.0
2019-03-31,90.0
2019-04-01,90.0
2019-04-02,95.0
2019-04-03,100.0
2019-04-04,100.0
2019-04-05,102.0
2019-04-06,104.0
2019-04-07,104.0
2019-04-08,104.0
2019-04-09,103.0
2019-04-10,99.0
2019-04-11,96.0
2019-04-12,100.0
2019-04-13,89.0
2019-04-14,89.0
2019-04-15,89.0
2019-04-16,89.0
2019-04-17,94.0
2019-04-18,94.0
2019-04-19,98.0
2019-04-20,102.0
2019-04-21,105.0
2019-04-22,105.0
2019-04-23,104.0
2019-04-24,103.0
2019-04-25,103.0
2019-04-26,102.0
2019-04-27,103.0
2019-04-28,103.0
2019-04-29,103.0
2019-04-30,103.0
2019-05-01,102.0
2019-05-02,102.0
2019-05-03,102.0
2019-05-04,102.0
2019-05-05,102.0
2019-05-06,102.0
2019-05-07,99.0
2019-05-08,102.0
2019-05-09,104.0
2019-05-10,104.0
2019-05-11,106.0
2019-05-12,106.0
2019-05-13,106.0
2019-05-14,106.0
2019-05-15,104.0
2019-05-16,104.0
2019-05-17,104.0
2019-05-18,104.0
2019-05-19,107.0
2019-05-20,107.0
2019-05-21,107.0
2019-05-22,107.0
2019-05-23,107.0
2019-05-24,105.0
2019-05-25,104.0
2019-05-26,108.0
2019-05-27,108.0
2019-05-28,105.0
2019-05-29,105.0
2019-05-30,105.0
2019-05-31,107.0
2019-06-01,109.0
2019-06-02,116.0
2019-06-03,116.0
2019-06-04,120.0
2019-06-05,126.0
2019-06-06,126.0
2019-06-07,128.0
2019-06-08,130.0
2019-06-09,130.0
2019-06-10,130.0
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,
2019-06-16,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-22,
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-06-29,
2019-06-30,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-20,
2019-07-21,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-27,
2019-07-28,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,85.0
2019-08-02,85.0
2019-08-03,85.0
2019-08-04,85.0
2019-08-05,85.0
2019-08-06,80.0
2019-08-07,73.0
2019-08-08,73.0
2019-08-09,73.0
2019-08-10,73.0
2019-08-11,73.0
2019-08-12,66.0
2019-08-13,66.0
2019-08-14,66.0
2019-08-15,70.0
2019-08-16,72.0
2019-08-17,72.0
2019-08-18,74.0
2019-08-19,79.0
2019-08-20,79.0
2019-08-21,79.0
2019-08-22,74.0
2019-08-23,70.0
2019-08-24,70.0
2019-08-25,70.0
2019-08-26,70.0
2019-08-27,63.0
2019-08-28,63.0
2019-08-29,65.0
2019-08-30,65.0
2019-08-31,65.0
2019-09-01,65.0
2019-09-02,65.0
2019-09-03,59.0
2019-09-04,59.0
2019-09-05,62.0
2019-09-06,65.0
2019-09-07,67.0
2019-09-08,67.0
2019-09-09,67.0
2019-09-10,75.0
2019-09-11,75.0
2019-09-12,77.0
2019-09-13,77.0
2019-09-14,79.0
2019-09-15,79.0
2019-09-16,79.0
2019-09-17,84.0
2019-09-18,89.0
2019-09-19,91.0
2019-09-20,91.0
2019-09-21,91.0
2019-09-22,91.0
2019-09-23,91.0
2019-09-24,83.0
2019-09-25,83.0
2019-09-26,77.0
2019-09-27,77.0
2019-09-28,77.0
2019-09-29,79.0
2019-09-30,79.0
2019-10-01,79.0
2019-10-02,79.0
2019-10-03,79.0
2019-10-04,79.0
2019-10-05,76.0
2019-10-06,76.0
2019-10-07,76.0
2019-10-08,76.0
2019-10-09,80.0
2019-10-10,80.0
2019-10-11,80.0
2019-10-12,80.0
2019-10-13,80.0
2019-10-14,80.0
2019-10-15,80.0
2019-10-16,76.0
2019-10-17,75.0
2019-10-18,73.0
2019-10-19,73.0
2019-10-20,73.0
2019-10-21,73.0
2019-10-22,73.0
2019-10-23,77.0
2019-10-24,79.0
2019-10-25,79.0
2019-10-26,79.0
2019-10-27,79.0
2019-10-28,79.0
2019-10-29,71.0
2019-10-30,71.0
2019-10-31,73.0
2019-11-01,75.0
2019-11-02,77.0
2019-11-03,82.0
2019-11-04,82.0
2019-11-05,85.0
2019-11-06,88.0
2019-11-07,90.0
2019-11-08,90.0
2019-11-09,90.0
2019-11-10,93.0
2019-11-11,93.0
2019-11-12,93.0
2019-11-13,93.0
2019-11-14,93.0
2019-11-15,95.0
2019-11-16,95.0
2019-11-17,102.0
2019-11-18,102.0
2019-11-19,102.0
2019-11-20,102.0
2019-11-21,102.0
2019-11-22,102.0
2019-11-23,97.0
2019-11-24,97.0
2019-11-25,97.0
2019-11-26,92.0
2019-11-27,92.0
2019-11-28,94.0
2019-11-29,94.0
2019-11-30,94.0
2019-12-01,94.0
2019-12-02,94.0
2019-12-03,88.0
2019-12-04,88.0
2019-12-05,83.0
2019-12-06,83.0
2019-12-07,83.0
2019-12-08,83.0
2019-12-09,83.0
2019-12-10,80.0
2019-12-11,80.0
2019-12-12,82.0
2019-12-13,82.0
2019-12-14,85.0
2019-12-15,87.0
2019-12-16,87.0
2019-12-17,87.0
2019-12-18,90.0
2019-12-19,90.0
2019-12-20,90.0
2019-12-21,93.0
2019-12-22,93.0
2019-12-23,93.0
2019-12-24,96.0
2019-12-25,100.0
2019-12-26,100.0
2019-12-27,100.0
2019-12-28,100.0
2019-12-29,100.0
2019-12-30,92.0
2019-12-31,92.0
2020-01-01,92.0
2020-01-02,92.0
2020-01-03,85.0
2020-01-04,87.0
2020-01-05,90.0
2020-01-06,
2020-01-07,93.0
2020-01-08,93.0
2020-01-09,93.0
2020-01-10,88.0
2020-01-11,88.0
2020-01-12,83.0
2020-01-13,
